question,generated_answer
is the cape hatteras lighthouse still in use,"Yes. Cape Hatteras Lighthouse, the tallest in the United States, stands 208 feet (63 m) from the bottom of the foundation to the roof's peak and is still in use"
the presence of vestigial structures is explained by the common descent hypothesis. true false,true
can the senate filibuster a supreme court nominee,Prior to 2017 a nominee could be filibustered once debate on the nomination had begun in the full Senate. However the rules were changed and the filibuster for the appointment and confirmation of nominations to the Supreme Court of the United States was eliminated.
an above the line deduction refers to a deduction for agi,"an above-the-line deduction is a deduction that the Internal Revenue Service allows taxpayers to subtract from their gross income in arriving at adjusted gross income'', AGI for the taxable year."
is us marshals and the fugitive the same movie,"U.S. Marshals is a spin - off to the 1993 motion picture The Fugitive, which in turn was based on the television series of the same name."
is it compulsory to wear seat belts in usa,Most seat belt laws in the United States are left to the states
should wine bottles be stored at an angle,"Research in the late 1990s suggested that the ideal orientation for wine bottles is at a slight angle, rather than completely horizontal"
ed sheeran wrote a song for justin bieber,"Yes. Love Yourself'' is a song recorded by Canadian singer Justin Bieber for his fourth studio album Purpose (2015). It was written by Ed Sheeran, Benny Blanco, and Bieber and produced by Blanco."
is rogue one the sequel to force awakens,"Rogue One is the first installment of the Star Wars Anthology series, set immediately before the events of the original Star Wars film."
has a nfl team won superbowl at home,"No. So far, no team has reached the Super Bowl in their home stadium."
roswell do max and liz end up together,"Yes. Max proposes to Liz, choosing to be with her even if they have only 12 days. Liz says yes. Liz marries Max in a beautiful country church."
has anyone ever won a million dollars on jeopardy,"His total earnings are $3,196,300"
is turkish airlines a member of the star alliance,Turkish Airlines joined as a member of Star Alliance
can you turn right on red in idaho,"All 50 states, the District of Columbia, Guam, and Puerto Rico have allowed right turns on red since 1980, except where prohibited by a sign or where right turns are controlled by dedicated traffic lights"
do the dogs die in where the red fern grows 2,"Yes, one night, Old Dan and Little Ann tree a mountain lion, and it attacked; Old Dan died later that night as a result of the attack, and after that, Little Ann loses the will to live, stops eating, and dies of grief a few days later on Old Dan's grave."
during his lifetime an athenian citizen could serve on the council of five hundred,"In this case, simply by demographic necessity, an individual could serve twice in a lifetime."
will there be another season of scooby doo mystery incorporated,"The series is produced by Warner Bros. Animation and Cartoon Network UK and premiered in the United States on Cartoon Network on April 5, 2010. After two seasons and fifty episodes, the series concluded on April 5, 2013."
is the lighthouse of alexandria still standing today,an abandoned ruin
shadowhunters is jace and clary brother and sister,Jace Lightwood is Clary's significant other.
in the vampire diaries do damon and elena ever get together,Elena chooses to be with Damon in the series finale.
